BM,BTG,BWQ,CLJ,CT,DMZ,FSB,GGS,GTQ,HK,HLS,HMS,JJQ,LJG,LK,NJG,PS,QJDQ,QXC,SJY,SMZ,SPY,SWB,SXC,WC,WHK,XH,XJX,YJ,YLJK,YSG,YYL,ZT
1819.11875,34831.95625,1869.89375,19882.34375,11016.5125,91.1,9265.8625,9058.08125,926.85625,32542.1875,12694.525,7279.80625,1708.09375,3999.93125,12732.66875,12671.19375,12694.775,280.58125,12647.78125,1107.7375,5008.05,9112.19375,12493.5125,37639.46875,40297.89375,32940.3875,3075.0125,281.6625,24869.85625,2672.3125,21000.65,12735.6125,9261.11875
1754.9625,32571.875,2122.95,20667.4125,12862.03125,78.28125,10694.7625,10456.325,1671.3875,31830.0375,15429.2375,5289.5,2556.61875,4050.3875,16072.73125,15528.8,15394.96875,369.80625,14788.90625,1176.1375,6372.40625,10502.73125,15035.6875,34840.25625,36891.13125,31787.275,4790.53125,212.85625,26327.71875,3284.175,20849.35625,15761.95,10643.85
2070.284375,32013.728128,2460.74375,19346.0125,15945.412502,56.765625,13594.790628,13096.481252,1886.475,29736.8625,17372.446876,4046.434375,3225.478125,3989.24375,16704.296878,17176.478126,17412.056252000002,310.54375,17640.190626000003,2285.034375,8956.431251,13300.146876,17119.196878,33909.659376,36335.515626,30169.578128,4049.2125,633.084375,25076.31875,4141.8125,19887.084376000003,15561.150002,13642.390628
5689.396875,45430.784378,2422.778125,33723.878128,20662.265626,64.16875,18170.650002,16154.465626,1746.828125,46333.928126,27436.000002000004,7009.290625,3691.10625,4070.0375,27334.462502,27384.618754000003,27427.578126,426.421875,26627.143752000004,2657.009375,11843.4625,16608.825002,26801.109376,47959.03750200001,47647.546878,45182.293752000005,4555.39375,1125.13125,38069.659378,4962.58125,32493.359376,25678.009378,17694.271876000003
4125.984375,69785.165628,3349.575,49612.69375200001,22782.193752,46.48125,19460.618752,18057.384378,1659.9,69295.071878,31033.318752000003,10290.193754,4001.665625,4109.7125,31849.259378,31268.671878,30860.096878,771.9625,27470.934376,3130.071875,13811.409378,18312.862504,27997.015628,73860.62500199999,79436.41250399999,68758.96562599999,5868.35,787.884375,58411.346878,6006.4125,49990.337504,30822.218754,19049.278128
2274.825,72237.81875399999,7520.4625,46990.296876,25692.956252,196.596875,18247.700002,17115.353128,1652.60625,69298.540626,31564.040626,7640.396875,4159.071875,4784.84375,33637.821878,32023.012502000005,31347.946878,1054.6625,28392.365626000003,5237.65625,12221.634378,17510.668752,28886.181252,75620.03125199999,82857.234378,70133.243752,9312.840626,378.93125,60495.646876,5596.64375,48744.796878,34211.515628,17945.587502000002
2452.4875,61715.97500200001,13488.043753,45730.28750200001,35270.600004,2332.265625,21637.456252,17169.918752,1499.840625,59925.925002,39201.462504,4920.021875,4210.525,5426.434375,39552.96875,39282.293754,39128.987502,860.29375,38222.884378,7982.946875,11386.39375,19912.784376000003,38069.796878,63485.003128,72997.515628,60043.071878,6687.83125,1352.784375,54575.743752,4803.746875,45809.721878,37993.703128,21148.640628
3150.815625,63060.875002,7097.209375,41786.156254,25930.159378,1124.7375,18703.10938,15610.48125,1343.41875,58632.03750200001,32215.312502000004,3395.265625,3673.296875,4848.625,34787.453126,32717.731252000005,32040.378128,896.5,29852.106252000005,9430.053126,10403.950002,17213.331254,30587.721878,65325.359378,75311.806252,59855.13125400001,8174.921875,978.7125,54292.078128,3949.7625,43689.184378,36521.918752000005,18221.353130000003
2011.03125,50805.243752,4293.6875,32599.021878,22932.053126000003,1082.178125,18552.168754,16093.937502,1362.278125,45379.159378,26473.087502,2513.11875,3638.603125,4875.815625,27793.515628,26725.768752000004,26388.212502,503.08125,25331.121876,12847.028128,10842.100002,17610.146876000003,25673.228128,56993.825002000005,74764.078128,46566.928128,6546.68125,636.084375,41809.909378,3617.003125,33773.63125,28740.112504,18283.431252
1315.3625,38321.19375200001,2078.559375,26863.259376,18271.668752,408.1875,16072.275002,14522.968752,1145.865625,35055.946878,21254.028128,1890.090625,3655.146875,3642.996875,22544.606252,21507.140626,21169.050002,326.390625,20059.818754,13193.803128,10679.859378,15288.059376,20565.890628,42037.968754,59103.793754,35921.865628,3336.865625,289.1875,32322.121878,3512.721875,27981.584378,23821.596876000003,15790.990626
