BM,BTG,BWQ,CLJ,CT,DMZ,FSB,GGS,GTQ,HK,HLS,HMS,JJQ,LJG,LK,NJG,PS,QJDQ,QXC,SJY,SMZ,SPY,SWB,SXC,WC,WHK,XH,XJX,YJ,YLJK,YSG,YYL,ZT
1943.75,35151.54375,1631.2395833333333,20863.89375,11502.666666666666,61.87708333333333,9893.897916666669,9533.81875,1096.2604166666667,33102.30416666667,13818.235416666666,7045.804166666667,2014.1125,3826.325,14095.354166666666,13850.410416666668,13800.835416666669,296.6875,13480.779166666667,1204.5770833333331,5662.127083333334,9598.510416666666,13546.297916666666,37679.82083333333,40021.22916666666,33527.22083333333,3147.6541666666667,302.17291666666665,25591.68333333333,2861.9395833333333,21642.28125,13823.641666666666,9834.7875
4072.7010416666662,52000.815628,3162.771875,36273.281252,20670.815626666667,58.93958333333333,17548.48125266667,16149.540627333334,1752.55,51311.20521,26452.769793333333,7416.371876333334,3718.9354166666662,4086.491666666667,26556.522919333333,26465.725002666662,26394.24271066667,558.34375,24901.183334666668,2812.257291666667,11880.785418333331,16480.834377333333,24962.540627333336,54971.95208533333,57737.915628,50897.385418666665,5116.782291666666,868.846875,43037.50312733334,5182.634375,36217.915627333336,25286.940628,17240.638544
2594.5739583333334,64293.327086,9211.406251,43827.312502,28843.54896133333,1298.58125,19541.721878,16549.439584666667,1476.8979166666666,61098.24687666666,34071.30937733334,4908.346875,3960.990625,5074.296875,35721.355209999994,34417.647919333336,33922.68646066667,908.771875,32025.466668666668,8078.623959,11181.06771,18225.250002666668,32397.31146133333,66800.98646066667,76296.49687733334,61852.71458666667,8101.448958666666,921.5989583333334,55366.93541866667,4628.970833333334,45051.74375266667,36000.934378,19126.877086666667
1305.765625,37318.507294,2629.702083333333,25546.589586,17821.36875266667,519.5916666666667,15131.304169333334,13456.477086,1205.0104166666667,33793.544794,21003.002086,1884.1875,3363.4635416666665,3785.7447916666665,21840.05937733333,21175.426043333333,20929.412502666662,351.5083333333333,19487.26562733333,12915.494794666669,9462.091668,14287.497918,19870.16666933333,41222.646878,57765.29687866666,34676.631252666666,3507.282291666667,428.71979166666665,31043.43646133333,3213.6822916666665,26530.45208533333,22534.722920000004,14828.591668666666
3323.945833333333,46786.7349,4091.1244792,33349.29218933333,22745.41771066667,724.9177083333333,18616.362502666667,16391.103128,1371.15,47231.60885666667,28648.982294666665,2823.5260416666665,4222.551041666667,4810.482812533333,30159.92187733333,28881.821356666667,28553.21250266667,1243.9645833333334,26685.65521133333,5880.603645866667,11415.408335666669,17283.75156466667,27191.494795333336,48895.19687866667,54380.44114933334,46651.315105333335,8243.067709333332,934.9369791666668,44489.299482,3700.8635416666666,33452.54219,29215.733856666666,18099.61614733333
2373.444792,69865.701042,10458.958854866669,49595.684898,35168.361979333335,1192.8041667666666,24645.39687666667,22296.95573,1364.725521,70111.872918,41443.98437666667,3616.7546878,5599.5130211333335,6838.393750333334,43541.698438666666,41900.93906333333,41265.838022,1275.6755209,38284.25468733333,6940.331250333334,15259.895314,23842.952606000003,38816.149478,70996.782814,78006.26927133332,69937.32448,15306.929687333331,484.5078125,66307.30416866667,5671.167187800001,49831.484376,43165.103646,24315.502606
2376.859896133333,52214.534898,8014.980729533333,39329.89583466667,29923.559897333333,1031.9364584666666,21739.384896,18749.33333466667,1206.4552085333337,50903.46718666667,35141.322918000005,1607.8348960666667,4538.562500266667,5725.378125266667,36062.33385533334,35305.97343666667,35080.877084,376.396875,33513.78020933333,6681.210937733334,12774.600002,20333.36302266667,33968.56875133333,52900.381250666665,59785.15468933333,51384.85781333333,8379.1875004,559.2020833333333,48944.73021,4704.0968754000005,39894.84010533334,36639.614064,21020.631772666668
1065.7718751333334,44987.854168666665,10932.694271866669,31375.581250666663,26116.11771066667,988.2119793,15186.31875,13527.906771333332,1083.508854466667,43361.13854333333,28138.670834666664,961.0203126333332,3116.3213544,5173.8666668666665,28701.640626666667,28250.97135533333,28102.846877333337,256.70625,27425.39166933333,3555.6192710000005,8246.1208336,14711.434375333334,27573.962502,46075.277606,51141.42135533333,43800.83125066666,9124.098438333334,211.62291666666667,41850.111458666666,3344.5515628000003,32071.426042666662,29094.64323,14992.429688666663
1355.324479333333,34194.104688,5577.530208666667,23438.410938666668,16729.883334,324.3041666666667,11040.993230733333,9967.144270666668,945.3041667333332,32391.368232,19542.22812533333,721.1947916666667,2431.776042,3355.1343752666667,20446.021354666667,19712.443751333336,19485.196876,283.2338541666667,18540.670314,3514.7864586,6509.4838544,10470.8067712,18962.166668,35286.13073066667,39859.24322866667,33023.99427266667,5891.9932294,287.5145833333333,31095.180208666665,2646.1385419333333,24303.48698133333,21337.896877333336,10818.013022533332
1188.4765626333333,21517.187501333337,1672.0770836000002,15495.410418,10565.0177084,163.74479166666666,8850.854687333334,7967.960937733334,778.2208333333333,20301.80312666667,12522.685417333332,741.8015625,2010.391146,2562.2177085333333,13012.163022666668,12612.078646666669,12492.247918,221.9140625,11979.100001333334,2655.193229533333,5284.6489586,8335.145833866667,12188.750521333332,22429.738543333333,25847.841146,20696.453646666665,2667.4750004,252.9645833333333,19165.262500666668,2006.8979169333331,15943.946355333335,13333.639584666667,8667.5281254
