BM,BTG,BWQ,CLJ,CT,DMZ,FSB,GGS,GTQ,HK,HLS,HMS,JJQ,LJG,LK,NJG,PS,QJDQ,QXC,SJY,SMZ,SPY,SWB,SXC,WC,WHK,XH,XJX,YJ,YLJK,YSG,YYL,ZT
412.0,441.625,414.125,448.0,412.875,416.875,419.875,406.875,343.125,458.5,413.5,465.375,414.125,404.875,433.625,424.75,430.5,431.875,437.875,425.125,404.875,415.25,444.0,439.0,440.875,453.375,435.5,420.125,436.875,429.375,437.25,446.125,423.375
411.375,418.875,409.375,423.75,411.75,406.875,415.375,410.0,342.625,430.75,403.625,437.75,393.375,405.75,417.0,416.75,412.5,417.25,423.75,418.875,405.75,404.125,421.625,424.875,425.75,422.25,421.5,423.75,416.0,415.625,419.0,420.25,417.0
407.0,406.75,416.5,416.625,417.125,415.5,428.375,422.5,340.5,417.375,393.125,420.375,385.5,415.625,394.75,401.375,402.875,409.625,419.875,390.5,415.625,403.625,417.625,408.0,416.75,404.5,412.75,426.375,418.75,414.875,407.625,413.625,420.625
413.625,409.375,428.25,412.125,427.125,425.375,441.25,426.25,324.5,415.0,404.375,422.0,378.75,422.75,416.625,420.75,415.375,428.125,417.125,402.25,422.75,433.625,413.5,403.375,415.25,418.125,435.875,429.375,428.375,416.375,431.875,409.25,421.625
416.875,391.5,432.375,418.75,421.125,435.5,438.5,430.75,350.375,422.25,395.125,423.625,377.375,446.375,419.25,409.625,407.25,418.875,437.375,400.75,446.375,433.125,422.375,399.5,402.5,423.125,429.125,423.875,432.75,401.375,434.75,420.5,445.375
413.625,395.625,425.75,423.375,424.875,433.375,436.0,427.0,358.5,400.875,377.875,407.875,391.0,442.75,411.0,396.125,388.125,400.25,413.25,398.75,442.75,421.375,413.875,398.25,400.5,406.375,415.875,434.125,410.75,402.0,410.125,426.0,422.0
392.25,424.875,441.875,418.875,439.5,451.75,445.875,442.125,343.625,414.125,393.625,423.0,377.375,437.875,415.0,400.375,395.125,404.75,431.5,413.875,437.875,441.5,408.5,409.0,411.0,415.375,414.375,443.25,408.0,400.875,408.5,423.75,441.625
420.75,412.25,453.625,432.75,451.0,435.75,453.0,428.125,349.5,424.625,392.25,431.25,396.875,418.875,419.625,397.375,400.875,410.375,448.625,417.875,418.875,431.875,420.25,417.375,422.0,423.375,440.5,436.375,426.5,414.25,429.875,436.0,440.0
423.625,438.5,436.875,448.25,434.625,426.25,436.25,424.0,349.625,446.125,421.5,441.0,391.0,412.75,441.5,440.5,430.125,449.5,432.375,430.5,412.75,426.5,439.25,422.5,426.75,433.75,451.625,434.0,445.75,426.5,446.125,447.25,434.25
429.875,432.0,434.0,460.75,433.625,435.375,436.875,429.625,335.125,441.625,426.625,454.375,398.25,425.75,445.125,440.625,429.25,443.5,447.0,436.875,425.75,424.375,440.375,428.0,438.5,448.125,454.75,439.75,456.125,421.5,451.875,461.75,439.375
426.875,451.375,437.5,455.75,434.875,443.125,441.375,430.125,342.25,456.375,435.0,461.0,406.875,429.125,451.5,441.375,437.5,444.0,443.0,438.75,429.125,425.25,442.75,431.5,433.25,450.75,444.75,439.125,447.625,417.625,451.125,457.25,436.375
422.625,443.0,449.75,447.375,447.125,450.625,451.25,444.25,358.375,428.5,423.0,444.875,394.625,434.375,455.0,443.0,433.25,438.75,439.875,421.875,434.375,435.0,441.75,424.25,420.375,432.125,442.875,436.875,439.875,408.25,434.625,445.75,444.5
422.375,425.0,432.75,443.0,421.5,449.875,434.125,444.375,347.125,437.5,425.375,438.75,380.875,445.25,452.125,435.375,430.25,443.75,433.0,418.5,445.25,439.5,437.125,421.5,428.25,439.5,452.25,447.25,437.5,409.25,451.75,447.125,440.875
416.5,433.375,435.625,451.0,437.625,448.375,434.5,431.75,326.25,443.5,411.125,451.0,398.875,432.875,448.875,444.25,408.625,453.75,445.5,431.0,432.875,435.375,439.125,446.25,431.25,443.25,461.875,435.625,445.75,424.625,455.25,450.125,436.0
432.0,440.75,437.875,445.875,437.125,443.75,433.5,425.125,323.0,439.5,416.125,445.625,393.0,440.125,449.875,426.0,418.75,437.375,445.375,419.875,440.125,432.0,441.5,425.5,436.0,445.375,431.875,431.5,441.625,418.625,443.0,449.125,437.375
423.5,447.75,434.125,453.875,432.625,432.875,443.625,439.625,354.375,448.875,420.25,452.625,373.75,437.5,436.625,435.625,417.5,432.375,433.875,443.25,437.5,429.5,434.875,453.25,450.75,458.25,444.25,435.75,443.125,417.125,443.625,453.625,437.625
408.375,430.25,421.0,440.0,419.0,427.875,436.375,422.5,337.5,448.875,409.625,454.25,382.25,419.625,431.125,425.5,405.625,433.625,432.375,428.0,419.625,425.125,432.625,430.625,413.625,436.5,441.25,423.125,432.75,419.5,435.375,439.25,433.125
419.5,438.75,443.75,447.5,436.125,443.75,449.5,437.75,324.5,443.125,411.875,449.0,376.625,447.5,433.125,427.125,410.75,436.5,434.0,435.0,447.5,444.5,421.125,434.125,436.625,441.25,441.0,441.25,440.75,416.0,444.5,451.0,448.75
426.5,440.875,428.5,464.125,418.0,440.0,443.375,423.125,324.0,450.625,420.375,459.625,397.75,413.125,430.0,433.875,431.125,436.625,440.75,429.375,413.125,441.375,432.5,431.125,431.125,450.125,450.5,432.75,449.125,411.5,452.0,463.75,428.625
411.875,451.0,446.875,450.0,445.625,449.0,441.875,434.5,318.625,442.75,433.0,450.125,403.875,428.5,438.25,427.75,436.625,437.125,445.625,443.75,428.5,429.75,434.5,448.5,444.25,458.125,450.875,436.75,456.625,423.25,440.375,450.5,430.375
419.0,446.25,455.25,450.75,451.125,436.5,439.375,432.5,342.75,437.875,420.625,446.375,358.625,440.5,445.75,439.125,427.25,434.25,436.375,439.0,440.5,431.0,439.375,443.125,451.125,455.125,443.5,446.75,443.875,405.75,449.625,447.75,442.125
425.375,441.375,445.25,459.375,441.375,453.25,447.125,438.625,337.625,436.875,419.75,438.5,378.75,439.125,451.375,422.375,422.25,441.875,443.5,441.5,439.125,450.375,434.5,438.25,423.25,436.875,449.875,455.125,442.125,415.875,453.875,463.75,454.125
