BM,BTG,BWQ,CLJ,CT,DMZ,FSB,GGS,GTQ,HK,HLS,HMS,JJQ,LJG,LK,NJG,PS,QJDQ,QXC,SJY,SMZ,SPY,SWB,SXC,WC,WHK,XH,XJX,YJ,YLJK,YSG,YYL,ZT
0.0173625,0.019425,0.0144625,0.02095,0.0141625,0.015475,0.0155,0.01535,0.0106375,0.0198375,0.01855,0.022725,0.0104625,0.0157,0.0159375,0.016125,0.02005,0.017875,0.0172875,0.01775,0.0157,0.0134,0.0196875,0.0189625,0.0191,0.02185,0.0179625,0.0156,0.0192625,0.015975,0.0172125,0.0207125,0.0152375
0.0142,0.0158875,0.01455,0.0167375,0.0138,0.0145125,0.014475,0.01425,0.010075,0.015275,0.014725,0.0188,0.009825,0.01435,0.013275,0.0144625,0.0153875,0.014575,0.0153,0.015225,0.01435,0.0141375,0.0156875,0.016025,0.0163125,0.0156625,0.0145625,0.014925,0.015375,0.0141875,0.0151,0.016775,0.0147375
0.014425,0.0136875,0.0154,0.0158125,0.0147375,0.0153125,0.0156875,0.01455,0.0094875,0.0146375,0.01345,0.0170875,0.009925,0.0144125,0.014475,0.0128875,0.0140875,0.0141875,0.016575,0.0130625,0.0144125,0.0146375,0.01525,0.0132375,0.0144125,0.0150875,0.01575,0.01485,0.0154375,0.013375,0.014075,0.0159375,0.01495
0.015,0.0150625,0.0161625,0.0152625,0.015325,0.0159,0.01635,0.0152375,0.009425,0.015125,0.0142375,0.0174125,0.0102375,0.015075,0.0160375,0.0131125,0.0147,0.0159375,0.0171875,0.0136625,0.015075,0.0154875,0.0156,0.0133,0.0143625,0.0159125,0.0171125,0.0160375,0.0168625,0.0136375,0.01735,0.0152375,0.0161625
0.0158375,0.0125875,0.0170625,0.0171375,0.0161625,0.0172875,0.0161,0.017175,0.0093875,0.0159875,0.01445,0.0183,0.0105875,0.0157125,0.0179,0.0141375,0.01535,0.0155875,0.0175625,0.0127875,0.0157125,0.0156,0.0162875,0.0123375,0.0124125,0.017525,0.018625,0.0166375,0.0184125,0.0144625,0.0170625,0.017175,0.0168125
0.0149125,0.0131875,0.017,0.0182,0.016225,0.016325,0.0168125,0.0162375,0.009725,0.012975,0.0123,0.01425,0.01095,0.014375,0.01715,0.0135375,0.0126875,0.0145625,0.0173375,0.0123125,0.014375,0.01515,0.0173125,0.0124875,0.0114875,0.0161,0.017475,0.0159375,0.014775,0.0145375,0.015125,0.018475,0.0160375
0.012725,0.0127625,0.0165375,0.0156125,0.015375,0.01815,0.0170625,0.0172625,0.010125,0.0150125,0.012225,0.0160625,0.0117875,0.016975,0.01565,0.0135125,0.01265,0.014375,0.0151,0.013,0.016975,0.01685,0.0147625,0.0107125,0.0110875,0.0152625,0.0133125,0.0185125,0.0137125,0.0165375,0.0134,0.01575,0.0181375
0.015175,0.0137125,0.01965,0.01815,0.0175125,0.0189,0.0188625,0.018125,0.0100125,0.0155875,0.0125625,0.0173,0.010675,0.0185125,0.0168625,0.012225,0.0136625,0.0152,0.0175375,0.0136625,0.0185125,0.0166625,0.016125,0.01235,0.012625,0.015675,0.0175125,0.0187375,0.0162625,0.0167,0.0160875,0.018475,0.0183625
0.0191375,0.0165625,0.0180125,0.0194875,0.0173625,0.01885,0.0183875,0.0181875,0.0098875,0.0190375,0.0155625,0.020925,0.0096625,0.018325,0.0191125,0.0148625,0.0167625,0.02055,0.0191375,0.0144125,0.018325,0.0166625,0.0179875,0.0160125,0.0151125,0.018925,0.019775,0.0185625,0.01905,0.0172625,0.0181125,0.0198125,0.0185
0.02005,0.018825,0.0188625,0.0222875,0.01775,0.01925,0.0187875,0.0199875,0.0095,0.0207125,0.0190375,0.0222625,0.0107,0.019825,0.02185,0.0194625,0.019825,0.021875,0.019525,0.0183125,0.019825,0.0173625,0.0200625,0.019325,0.01925,0.0214625,0.021925,0.0194,0.0211375,0.0173625,0.0206375,0.0224125,0.0189875
0.0187125,0.0195375,0.0195125,0.023675,0.018525,0.0204125,0.019675,0.0199,0.009825,0.0212375,0.0193125,0.0228375,0.0102625,0.01985,0.0213875,0.0195625,0.0202125,0.0214875,0.019925,0.018525,0.01985,0.0184875,0.02025,0.0196625,0.02065,0.02035,0.02215,0.0198375,0.020975,0.0167875,0.021925,0.0237875,0.0197875
0.0185125,0.0189125,0.0204125,0.0218125,0.0193,0.0220375,0.020175,0.021575,0.0094125,0.0166125,0.0184125,0.0222625,0.0127875,0.021675,0.0217875,0.019125,0.01865,0.021025,0.0204625,0.0175,0.021675,0.0190625,0.0201125,0.0178375,0.0183125,0.019575,0.0202875,0.02055,0.01925,0.0175625,0.01845,0.0217625,0.0208
0.0186375,0.0179,0.019775,0.0226125,0.0174,0.0216375,0.0189,0.0205875,0.0097,0.01945,0.0177875,0.0215375,0.013425,0.020725,0.02215,0.0181,0.0185,0.020625,0.0191,0.0172125,0.020725,0.0196875,0.0183125,0.017325,0.0171125,0.0205,0.02125,0.0210125,0.019825,0.0172,0.018075,0.0226875,0.0211625
0.0196875,0.018825,0.02035,0.0222125,0.0185625,0.02095,0.0191625,0.021525,0.0093625,0.019125,0.0135375,0.0216125,0.014375,0.02165,0.022675,0.0165375,0.0148625,0.0211625,0.0214875,0.01765,0.02165,0.018225,0.0180625,0.01785,0.0177875,0.0197375,0.0229375,0.020625,0.02065,0.016,0.0189875,0.0222,0.0196375
0.01925,0.018675,0.01945,0.0215,0.01795,0.0208375,0.0197875,0.0206125,0.0093375,0.01885,0.0149125,0.0202375,0.012775,0.0204875,0.020175,0.016275,0.01525,0.0201375,0.0198625,0.0176,0.0204875,0.01855,0.0178,0.01735,0.0176625,0.0199125,0.0209875,0.01995,0.0190375,0.017025,0.0199125,0.0214375,0.0197
0.018125,0.0199,0.0192375,0.0217625,0.01805,0.0195,0.0193375,0.0198375,0.00885,0.020625,0.0168625,0.0224,0.010575,0.0193375,0.0204125,0.017875,0.0173,0.020025,0.0199875,0.018825,0.0193375,0.0184375,0.0182625,0.0198625,0.0210125,0.0211125,0.021475,0.0193,0.0209625,0.0173875,0.020925,0.02165,0.019725
0.0178625,0.0183625,0.018275,0.0199125,0.01775,0.0172375,0.01835,0.018525,0.0098,0.0196875,0.0173,0.021575,0.0109,0.01715,0.0187375,0.01725,0.017975,0.018275,0.01975,0.0179375,0.01715,0.0170125,0.018125,0.017775,0.0194125,0.019375,0.0195125,0.0178625,0.019125,0.0172375,0.0191625,0.0199375,0.0182
0.0183,0.0180875,0.0193375,0.022575,0.018075,0.018925,0.0188125,0.0188625,0.0097625,0.020175,0.01825,0.02235,0.0116375,0.0185625,0.0207625,0.0184,0.0189625,0.0194125,0.0196375,0.01735,0.0185625,0.01845,0.0186,0.0183875,0.0187375,0.0197875,0.02065,0.01955,0.0207625,0.017175,0.0195625,0.0224625,0.0201625
